اسم المرض,التعريف,الانواع,الأعراض,الأسباب,طرق العلاج,الأدوية المرتبطة,طرق الوقاية,الاشخاص الاكثر عرضه
السكري,اضطراب مزمن يؤثر على قدرة الجسم على إنتاج الأنسولين أو استخدامه بكفاءة,_____,العطش الشديد- الجوع- فقدان الوزن- التعب,وراثي- سوء تغذية- مقاومة الأنسولين,حقن الأنسولين- أدوية تنظيم السكر- تغيير نمط الحياة,ميتفورمين- إنسولين- جلوكوفاج,نظام غذائي- ممارسة الرياضة- مراقبة السكر,الأشخاص الذين لديهم تاريخ عائلي مع المرض- المصابون بالسمنة
الإنفلونزا,عدوى فيروسية تصيب الجهاز التنفسي العلوي,---,الحمى- السعال- احتقان الأنف- آلام الجسم,عدوى فيروسية (فيروس الإنفلونزا),الراحة- تناول السوائل- أدوية خافضة للحرارة,باراسيتامول- إيبوبروفين- مضادات الفيروسات,التعليم- غسل اليدين- تجنب المصابين,كبار السن- المصابون بأمراض مناعية
ارتفاع ضغط الدم,ارتفاع مستمر في ضغط الدم عن المعدل الطبيعي,_____,الصداع- الدوخة- عدم وضوح الرؤية- ألم في الصدر,التوتر- نظام غذائي غير صحي- قلة النشاط البدني,تقليل الملح- ممارسة الرياضة- تناول طعام صحي,أملوديبين- لوسارتان- إنالابريل,تجنب الملح- تجنب الدهون,كبار السن- المدخنون- المصابون بالسمنة
الربو,مرض تنفسي مزمن يسبب تضيق الشعب الهوائية,التحسسي- المهني,ضيق التنفس- السعال- الصفير أثناء التنفس,التهابات الجهاز التنفسي- الحساسية- التدخين,بخاخات موسعة للشعب- تجنب المهيجات- الأكسجين,سالبيوتامول- فلوتيكاسون- بوديزونيد,تجنب التدخين- تجنب المحفزات,الأطفال- الأشخاص الذين لديهم حساسية
فقر الدم,حالة تؤدي إلى نقص خلايا الدم الحمراء أو الهيموغلوبين,نقص الحديد - نقص الفيتامينات - الأنيميا المنجلية,الإرهاق - شحوب البشرة - ضيق التنفس - الدوخة,نقص الحديد - نقص الفيتامينات - أمراض مزمنة,تناول مكملات الحديد - تحسين التغذية - نقل الدم,فيروز - فيتامين ب12 - حمض الفوليك,تناول طعام غني بالحديد - مكملات غذائية - تجنب الأطعمة التي تعيق امتصاص الحديد,النساء الحوامل - الأطفال - كبار السن - المصابون بأمراض مزمنة
متلازمة الامعاء القصيرة,متلازمة الأمعاء القصيرة Short Bowel Syndrome هي مشكلة في الأمعاء الدقيقة حيث لا تستطيع امتصاص العناصر الغذائية مثل الفيتامينات والمعادن والبروتينات والدهون والسوائل الكافية لحاجة الجسم كي يقوم بوظائفه,استئصال اللفائفي - استئصال الصائم، استئصال القولون - المتلازمة الكاملة,يعد الإسهال أكثر الأعراض شيوعًا  - فقدان الوزن - الضعف والشعور بالإرهاق - تقلصات البطن والغازات - تورم القدمين - الشعور بالغثيان والقيء – الحموضة - أعراض نقص امتصاص بعض المعادن أو الفيتامينات مثل (جفاف الجلد - وفقدان الكتلة العضلية) - مشكلات الإبصار بسبب نقص فيتامين أ - التشنجات وعدم انتظام ضربات القلب بسبب نقص فيتامين ب - تقلصات عضلية وهشاشة العظام بسبب نقص فتامين د. - شحوب الجلد وعدم القدرة على التفكير وضيق التنفس بسبب نقص الحديد - فقدان الشعر والطفح الجلدي بسبب نقص الزنك,يرجع سبب متلازمة الأمعاء القصيرة (من اسمها) إلى قصر الأمعاء - اسباب وراثيه ولادة الطفل بأمعاء قصيرة غير مكتملة  - الخضوع لعمليات جراحية لعلاج أمراض مثل الالتهاب المعوي القولوني الناخر - فقدان تدفق الدم إلى الأمعاء بسبب الانسداد المعوي,تغيير العادات الغذائية: الحفاظ على الوجبات في مواعيدها اليومية وتناولها بانتظام - الإكثار من شرب السوائل والحرص على شربها بين الوجبات وليس في أثناء تناولها - تجنب الأطعمة المسببة للإسهال مثل الأطعمة الغنية بالألياف أو السكريات أو الأطعمة الدهني  الجراحة: جراحة لتجنب الانسداد المعوي - تضييق أي موضع متوسع غير طبيعي في الأمعاء -  زيادة مدة بقاء الطعام في الأمعاء - إطالة الأمعاء,لوبيراميد - مكملات الفيتامينات - محاليل الإماهة,تجنب العمليات الجراحية غير الضرورية - تحسين صحة الأمعاء قبل الجراحة,"عادة ما تكون عند الأطفال.
أو مكتسبة نتيجة مرض ما أو عملية جراحية لإزالة جزء من الأمعاء."
التهاب الكبد,التهاب الكبد Hepatitis هو مصطلح يتم استخدامه لوصف التهابات الكبد باختلاف أنواعها سواء كانت ناتجة عن التهابات فيروسية أو كانت ناتجة عن حدوث تلف في الكبد نتيجة لأسباب أخرى,التهاب الكبد فيروس أ – التهاب - الكبد فيروس ب - التهاب الكبد - فيروس سي - التهاب الكبد المناعي - التهاب الكبد الكحولي - التهاب الكبد الوبائي,الإصابة بالحمى - الشعور بآلام في العضلات والمفاصل - حالة من الإعياء والتعب والإرهاق - ألم في البطن خاصةً في الجزء العلوي من الجهة اليمنى - تورم البطن وانتفاخها - تغير في لون البول والبراز عن اللون الطبيعي - الإصابة بمرض اليرقان والذي يؤدي إلى تلون الجلد وبياض العين باللون الأصفر,لحدوث الالتهاب سواء الإصابة كانت ناتجة عن الإصابة بفيروس A أو B أو C أو D أو E - تناول الكحوليات بغزارة والذي يؤدي إلى الإصابة بالتهاب الكبد الكحولي - بعض العناصر مثل السموم والمواد الكيميائية - مهاجمة جهاز المناعة للجسم,"لا يوجد علاج واحد لجميع الأنواع، فكل نوع من هذه الأنواع يتم علاجه والتعامل معه بآلية معينة سواء كان حادًا أو مزمنًا، فالأنواع الحادة والفيروسية غالبًا لا تحتاج إلى علاج لأنه تختفي من تلقاء نفسها مع اتباع نمط حياة معين.
ينما هناك أنواع تحتاج إلى استخدام الأدوية بالتحديد الأنواع المزمنة، وقد تشمل بعض طرق العلاج الأخرى الخضوع لجراحة أو التوقف عن تناول الكحول خاصةً في حالة التهاب الكبد الكحولي، هذا بجانب القيام بعدد من الخطوات التي تساعد في منع تلف الكبد. وقد تحتاج بعض الأنواع إلى زراعة للكبد",باراسيتامول بحذر - أدوية دعم الكبد مثل السيليمارين,"التحفظ حيث يعتبر التهاب الكبد معدي في أغلب الأنواع، حيث أن فيروس أ من الأنواع المعدية وكذلك فيروس ب وفيروس سي.
في دراسة تم القيام بها وجد أن تناول العسل قد يكون مفيدًا في تخفيف أعراض التهاب الكبد أ لدى الأطفال المصابين به
وفي تجربة أخرى تم القيام بها وجد أن العسل قد يكون له دور في منع تلف الكبد الناتج عن مشاكل أخرى بعيدًا عن التهابات الكبد مثل انسداد القناة الصفراوية، حيث يمنع تلف الكبد ويحمي منه في هذه الحالة.
وبالرغم من هذا لا توجد دراسات مؤكدة تؤكد أن العسل علاج فعال لعلاج التهابات الكبد المختلفة
",الأشخاص الذين يتعرضون لدم ملوث - مدمنو الكحول - المصابون بأمراض مناعية
تسمم السمك,تسمم السمك Fish poisoning هو أحد أنواع التسمم الذي ينتج عن تناول الأسماك وله عدة أنواع،,التسمم بالأسماك المدارية - تسمم الهيستامين - تسمم التترودوتوكسين -تسمم المحار,"تختلف الأعراض باختلاف نوع التسمم ولكن يمكن أن تكون أعراض تسمم السمك كالتالي:
 أعراض تسمم الأسماك المدارية
 وهو من الأنواع التي تظهر أعراض التسمم الخاصة بها بعد وقت قليل من تناولها قد تظهر الأعراض بعد ساعة وحتى 24 ساعة ويمكن أن يشعر الشخص بالتالي: 
آلام البطن والمعدة التي تكون مصحوبة بالإسهال. الغثيان والقيء.
 الشعور بالإرهاق مع الصداع والإغماء.
 ظهور وخز في المنطقة المحيطة بالفم وكذلك في أطراف الأصابع. 
آلام العضلات وكذلك آلام المفاصل. 
انشار الشعور بالحرقان عند ملامسة المياه الباردة. 
الحكة الشديدة.
 التعرض للغيبوبة في بعض الحالات. 
احتمالية الإصابة باضطراب ضربات القلب وانخفاض ضغط الدم. 
وقد تستمر أعراض هذا النوع من التسمم لعدة أيام بل وقد يمتد تأثيرها في بعض الحالات إلى 4 أسابيع.
 أعراض تسمم الهيستامين
 إن أعراض هذا النوع من التسمم قد تتشابه بصورة كبيرة مع أعراض الحساسية وقد تظهر أعراضه في فترة لا تتجاوز دقائق أو ساعات من تناول الأسماك المسممة به 
وقد يؤدي حدوث هذا التسمم إلى: الطفح الجلدي مع احمرار في الوجه والذي قد يمتد أحيانًا للرقبة والذراعين.
 الإصابة بالإسهال. احتمالية الإصابة بالتعرق والقيء في بعض الحالات. 
الإصابة بالصداع وتورم الفم. صعوبات البلع. خفقان القلب المصحوب بالدوخة.
 تستمر أعراض هذا النوع من التسمم في الغالب بفترة تصل إلى 12 ساعة تقريبًا
أعراض تسمم التترودوتوكسين 
يمكن أن يتسبب تسمم الأسماك المنتفخة في ظهور أعراض بعد 20 دقيقة إلى 3 ساعات من تناول السمك ويؤدي إلى ظهور أعراض مثل:
الشعور بخدر في أماكن مختلفة من الجسم بالتحديد في الشفتين واللسان والوجه. 
الشعور بمشاكل في الجهاز الهضمي كآلام البطن والإسهال.
الصداع مع الشعور بالغثيان والقيء. التأتأة عند التحدث.
التأثير على العضلات بحيث يصبح الشخص غير قادر على المشي بسهولة.
 مشاكل في الدماغ. مشاكل في التنفس مع اضطراب شديد في ضربات القلب مع نوبات صرع. 
هذا النوع من التسمم يمكن أن يكون مميتًا في حالة لم يتم التعرف عليه والتعامل معه، فقد يتعرض الشخص للوفاة في مدة ما بين 4 إلى 6 ساعات من حدوثه. 
أعراض تسمم المحار
 تختلف أعراض هذا النوع من التسمم بشدة عن بقية الأنواع الأخرى وتحدث غالبًا خلال دقائق إلى ساعات من تناول المحار
ويمكن أن يحدث على شكل تسمم بالكالسيتين المحاري أو قد يحدث التسمم المحاري للأعصاب أو قد يكون على شكل تسمم محاري يؤثر على الذاكرة وبالتالي قد يعاني الشخص من أعراض مثل:
في حالة تسمم الكالستين المحاري قد تستمر الأعراض لعدة أيام في الحالات الشديدة قد يعاني الشخص من عدم القدرة على الكلام وصعوبات البلع وصعوبة في الحركة وصعوبة في التنفس. 
في حالة التسمم المحاري للأعصاب وهنا تكون أعراضه مشابهة لأعراض التسمم الناتج عن الأسماك المدراية ولكنها أقل حدة منها. 
في حالة التسمم المحاري الذي يؤثر على الذكرة  يكون هذا النوع تأثيره أكبر على الجهاز العصبي، حيث يسبب حالة من الارتباك وفقدان الذاكرة وغيبوبة في بعض الحالات بجانب آلام الجهاز الهضمي كآلام البطن والقيء.
",تناول أسماك تحتوي على سموم طبيعية بسبب تلوثها بالطحالب السامة أو تحلل الهيستامين في الأسماك الفاسدة,علاجه عن طريق تناول مضادات الهيستامين مثل دواء ديفينهيدرامين ودواء سيميتيدين - تسمم التترودوتوكسين: علاج يهدف العلاج إلى تخفيف امتصاص الجسم لهذا السم ومحاولة تخفيف الأعراض مع التعامل مع المضاعفات الشديدة التي قد تنتج عنه والتي قد تكون مهددة للشخص المصاب به وحتى الآن لم يتم إيجاد مضاد للسموم من هذا النوع - تسمم المحار: يعتمد علاج تسمم المحار على عدة عوامل منها قوة السم وقدرة الشخص على التعامل مع الأدوية وكذلك التاريخ المرضي للشخص,ديفينهيدرامين - أوندانسيترون - محاليل الإماهة ,تجنب تناول الأسماك الكبيرة من المياه الدافئة - التأكد من حفظ الأسماك بطريقة صحيحة,السياح في المناطق الاستوائية - محبو المأكولات البحرية
التهاب المفاصل,مرض يسبب التهابات وتيبس في المفاصل,الروماتويدي- هشاشة العظام- النقرس,ألم المفاصل- التورم- التعب- فقدان الحركة,وراثي- السمنة- الإجهاد المتكرر على المفاصل,أدوية مضادة للالتهاب- علاج طبيعي- جراحة,ايبوبروفين- كورتيزون- ميثوتريكسات,ممارسة التمارين- الحفاظ على الوزن- تجنب الإجهاد المفرط,كبار السن- المصابون بالسمنه - الذين لديهم تاريخ عائلي
الزهايمر,اضطراب عصبي تدريجي يسبب فقدان الذاكرة والتفكير,المبكر- المتأخر- الوراثي,فقدان الذاكرة- ضعف التركيز- صعوبة في التحدث,وراثي- تراكم بروتينات غير طبيعية في الدماغ,أدوية تحسن الذاكرة- دعم نفسي- تمارين ذهنية,دونيبيزيل- ميمانتين- ريفاستيجمين,الحفاظ على العقل نشطًا- نظام غذائي صحي- تجنب التدخين,كبار السن- الأشخاص الذين لديهم تاريخ عائلي
