الاسم,العنوان,مواعيد العمل,رقم الهاتف,الموقع الالكتروني,خطوط العرض2,دوائر الطول2
معامل أوتولاب,برج السلكاوي أعلى صيدلية السرايا 46 حسين بيك المنصورة ثان المنصورة,من السبت الي يالخميس:من 9ص الي 11.30م,502361696,https://www.facebook.com/share/199CEzeuYK,31.03311111,31.36305556
معامل المجد , فرع احمد ماهر بجوار اولاد رجب امام ابراهيم العش للسيارات برج الشروق الدور الارضي- المنصورة,يعمل علىي مدار اليوم , 01005850848 – 0502394755,https://www.facebook.com/share/189c98xnV9,31.03311111,31.36305556
معامل المجد ,فرع مساكن الشناوي عمارة رقم ?? امام حلواني عبد المجيد – المنصورة,يعمل علىي مدار اليوم ,01093509993 – 01020520457,https://www.facebook.com/share/189c98xnV10,31.0403,31.3902
معامل المجد ,فرع توريل امام البوابه الرئيسيه لنادى الشرطه عمارة الجمل – المنصورة,يعمل على مدار اليوم,01001063647 – 0502310095,https://www.facebook.com/share/189c98xnV11,31.053259,31.399638
معامل المجد ,فرع سلامون القماش بجوار صيدلية عليوه – سلامون,يعمل على مدار اليوم,01226300583 – 01273489540,https://www.facebook.com/share/189c98xnV12,31.0709,31.4595
معامل الفا, ش عاطف المنجيمن  شارع الجمهورية,"من السبت الي الخميس: من 8ص الي12ص
الجمعة: من 9ص الي 4م",1200790569,https://alfalaboratory.com/?fbclid=IwZXh0bgNhZW0CMTEAAR7Qgb7aPHsZNB9s29GE3Iu5FxT0ZL55P5NpWf8QbKtOPdm7cFqT9QzKYxLajg_aem_rKdToTQoYDFrpyoywWehlw,31.04555556,31.36552778
معامل البرج, الجلاء اول المنصورة,علي مدار الاسبوع :من 8ص الي 10.30م,1117772806,https://alborglab.com/?fbclid=IwZXh0bgNhZW0CMTEAAR6Ppr17VpwFX-z1iECMsKQiqzJBrn63z8MjIAkdRES2jgcMgeLyaSsoeTYFfQ_aem_pbWV-jegHXVd6wJcjD_hPw,31.04108333,31.36416667
معمل الرواد للتحاليل الطبيه,العنوان قناة السويس المنصورة (قسم 2),من السبت لي الخميس:  من 10ص الي 11.30م,1061612934,https://www.facebook.com/share/1FaRHvofgZ,31.05297222,31.40883333
معامل زهران للتحاليل الطبيه,العنوان الجلاء  المنصورة (قسم 2),من السبت الي الخميس:  من 10ص الي 10م,502230070,https://www.facebook.com/share/1CKha1haAF/,31.03891667,31.37222222
معامل رؤية للتحاليل الطبية,العنوان ميت حدر محمد فريد  المنصورة (قسم 2),علي مدار الاسبوع: من 9ص الي 11م,1066995536,https://www.facebook.com/ROAYA.LAB11?sfnsn=scwspwa&mibextid=RUbZ1f,31.04666667,31.38658333
