الاسم,الماده الفعاله,دواعي الاستخدام,الجرعة,تحذيرات
إيبوبروفين - Ibuprofen,إيبوبروفين,مسكن للألم وخافض للحرارة,200-400 mg كل 4-6 ساعات,قد يسبب تهيجًا للمعدة أو نزيف. لا يُستخدم مع مشاكل في الكلى أو الكبد.
باراسيتامول - Paracetamol,باراسيتامول,مسكن للألم وخافض للحرارة,500 mg كل 4-6 ساعات,تجنب الجرعات الزائدة لتجنب تلف الكبد.
أموكسيسيلين - Amoxicillin,أموكسيسيلين,مضاد حيوي لعلاج العدوى البكتيرية,500 mg كل 8 ساعات,قد يسبب طفح جلدي أو تفاعلات تحسسية. يجب تجنب استخدامه في حالة الحساسية للبنسلين.
ديكساميثازون - Dexamethasone,ديكساميثازون,علاج الالتهابات والحساسية,0.75-9 mg يوميًا حسب الحالة,قد يسبب ارتفاع السكر في الدم وزيادة الوزن. لا يُستخدم لفترات طويلة.
أتورفاستاتين - Atorvastatin,أتورفاستاتين,خافض للدهون في الدم,10-80 mg يوميًا,قد يسبب مشاكل في الكبد أو العضلات. يجب مراقبة وظائف الكبد بانتظام.
أوميبرازول - Omeprazole,أوميبرازول,علاج الحموضة وقرحة المعدة,20-40 mg يوميًا قبل الوجبات,لا يُستخدم مع أدوية أخرى تقلل من حمض المعدة مثل اله2-أنتيهستامين.
سيتالوبرام - Citalopram,سيتالوبرام,مضاد للاكتئاب والقلق,10-40 mg يوميًا,قد يسبب صعوبة في النوم أو قلق. يجب الحذر في حالات أمراض القلب.
فوروسيميد - Furosemide,فوروسيميد,مدر للبول في حالات احتباس السوائل وفشل القلب,20-80 mg يوميًا حسب الحاجة,قد يسبب نقص البوتاسيوم أو مشاكل في الكلى. يجب مراقبة مستويات الكهارل.
ميترونيدازول - Metronidazole,ميترونيدازول,مضاد للبكتيريا والطفيليات,250-500 mg كل 8 ساعات,قد يسبب تفاعلات مع الكحول. يسبب الإحساس بالغثيان أو الدوخة.
كلوبيدوجريل - Clopidogrel,كلوبيدوجريل,مضاد للتجلط يستخدم بعد جراحة الشرايين أو الجلطات,75 mg يوميًا,قد يسبب نزيفًا غير طبيعي. يجب مراقبة النزيف بشكل مستمر.
